UNK  H5'' GUA C1' 1.09084991233 -3
UNK  H5'' GUA C2' 0.320869282438 -3
UNK  H5'' GUA C3' 3.0262817869 -3
UNK  H5'' GUA C4' 0.147695362149 -3
UNK  H5'' GUA C5' 0.510258708945 -3
UNK  H5'' GUA O5' -0.0982613616679 -3
UNK  H5'' GUA O3' 2.02579957359 -3
UNK  H5'' GUA C2 4.53196445911 -3
UNK  H5'' GUA C4 -19.1362694204 -3
UNK  H5'' GUA C5 -10.4095862767 -3
UNK  H5'' GUA C6 -15.49061412 -3
UNK  H5'' GUA C8 6.24512279544 -3
UNK  H5'' GUA N1 -11.3040558764 -3
UNK  H5'' GUA N2 -6.55665809491 -3
UNK  H5'' GUA N3 13.6799101299 -3
UNK  H5'' GUA N7 -3.23197250905 -3
UNK  H5'' GUA N9 0.25149119518 -3
UNK  H5'' GUA O6 8.35294429725 -3
UNK  H5'' ADE C1' 0.0531798748303 -3
UNK  H5'' ADE C2' -2.47789131453 -3
UNK  H5'' ADE C3' 0.286633019754 -3
UNK  H5'' ADE C4' 0.357765545971 -3
UNK  H5'' ADE C5' 0.667364592572 -3
UNK  H5'' ADE O5' 0.0587770740817 -3
UNK  H5'' ADE O3' 3.2069105926 -3
UNK  H5'' ADE C2 -7.98557124833 -3
UNK  H5'' ADE C4 11.87385342 -3
UNK  H5'' ADE C5 -1.54025333157 -3
UNK  H5'' ADE C6 -5.91077751889 -3
UNK  H5'' ADE C8 3.30474414878 -3
UNK  H5'' ADE N1 -4.86655017751 -3
UNK  H5'' ADE N3 -3.05036300356 -3
UNK  H5'' ADE N6 -10.7949316997 -3
UNK  H5'' ADE N7 -10.6840692588 -3
UNK  H5'' ADE N9 -0.449627513088 -3
UNK  H5'' URA C1' -3.17552443187 -3
UNK  H5'' URA C2' 3.53805530819 -3
UNK  H5'' URA C3' 0.504690662859 -3
UNK  H5'' URA C4' 1.28845144136 -3
UNK  H5'' URA C5' -0.0 -3
UNK  H5'' URA O5' 3.71317446544 -3
UNK  H5'' URA O3' 0.919521622992 -3
UNK  H5'' URA C2 2.28585210147 -3
UNK  H5'' URA C4 -8.7888251398 -3
UNK  H5'' URA C5 2.87443521694 -3
